名称与别名,类别,对应Skill,核对入口,本次证据状态,边界
淘宝；淘宝网；千牛；宝贝主图,货架电商,淘宝宝贝SKU与五图顺序助手,https://www.taobao.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
天猫；天猫商城；品牌旗舰店,货架电商,天猫品牌主视觉与详情一致性助手,https://www.tmall.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
京东；京麦；京东商城,货架电商,京东多主图视频关联素材助手,https://media.shop.jd.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
拼多多；多多；多多商家版,货架电商,拼多多规格差异一眼看懂助手,https://mms.pinduoduo.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
唯品会；唯品会特卖,货架电商,唯品会服饰成套视觉校验助手,https://www.vip.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
苏宁易购；苏宁商家,货架电商,苏宁家电安装信息图助手,https://www.suning.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
当当；当当网；图书电商,货架电商,当当图书套装与版本区分助手,https://www.dangdang.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
淘工厂；工厂直供；源头工厂,货架电商,淘工厂商品成本友好套图助手,https://taogongchang.taobao.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
天猫国际；进口商品,货架电商,天猫国际进口包装中文解读助手,https://www.tmall.hk/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
京东国际；进口专区,货架电商,京东国际版本与包装差异助手,https://www.jd.hk/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
抖音；抖店；抖音商城；抖音电商,内容电商,抖店商品卡与短视频同卖点助手,https://fxg.jinritemai.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
快手；快手小店；快分销,内容电商,快手小店讲解挂图助手,https://s.kwaixiaodian.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
小红书；红薯店铺；小红书电商；买手,内容电商,小红书买手选品图文资料助手,https://ec.xiaohongshu.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
微信小店；视频号小店；微信送礼,内容电商,微信小店送礼商品图卡助手,https://channels.weixin.qq.com/shop,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
淘宝直播；点淘,内容电商,淘宝直播商品讲解可视提词助手,https://live.taobao.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
B站带货；哔哩哔哩；悬赏带货,内容电商,B站商品测评证据镜头助手,https://member.bilibili.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
百度优选；度小店；百度电商,内容电商,百度优选商品问答图卡助手,https://youxuan.baidu.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
抖音生活服务；抖音团购；抖音来客,本地生活,抖音团购套餐包含与限制图助手,https://life.douyin.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
1688；阿里巴巴批发；诚信通,批发产业,1688阶梯起订与规格图助手,https://www.1688.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
百度爱采购；爱采购,批发产业,爱采购型号参数配图助手,https://b2b.baidu.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
慧聪网；慧聪,批发产业,慧聪工业商品应用图助手,https://www.hc360.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
中国制造网；Made-in-China,批发产业,中国制造网采购规格说明图助手,https://cn.made-in-china.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
义乌购；义乌小商品,批发产业,义乌购整箱混批展示助手,https://www.yiwugo.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
